ID,English,Japanese
RESID1,Make Calendar,カレンダーを作る
RESID2,See Wallpaper,作成した壁紙を見る
RESID3,Selection,選択
RESID4,Resize,サイズ
RESID5,Type,タイプ
RESID6,Positon,位置
RESID7,Close,閉じる
RESID8,Save,保存する
RESID9,Cancel,キャンセル
RESID10,Do you want to save?,保存しますか？
RESID11,OK,決定
RESID12,Please select an image.,イメージを選択してください
RESID13,Please adjust the size and position of the image.,イメージを調整してください
RESID14,Please select the type of a calendar.,カレンダーの種類を選択してください
RESID15,Please adjust the position of the calendar.,カレンダーの位置を決めてください
RESID16,,
